timestamp,rssize (private),vsize (virtual),%mem,%cpu,thread#,fd#
2013/05/30 11:05:39,16160,1052500,0.0,0,1,3
2013/05/30 11:05:40,325408,1052500,0.4,106,1,3
2013/05/30 11:05:41,632608,1052500,0.9,104,1,3
2013/05/30 11:05:42,941856,1052500,1.4,103,1,3
2013/05/30 11:05:43,1082956,1086372,1.6,103,1,3
2013/05/30 11:05:44,1765080,1768496,2.6,102,1,3
2013/05/30 11:05:45,1303248,1306668,1.9,102,1,3
2013/05/30 11:05:46,1984084,1987500,3.0,102,1,3
2013/05/30 11:05:47,1516280,1519700,2.2,102,1,3
2013/05/30 11:05:48,1051044,1054464,1.5,102,1,3
2013/05/30 11:05:49,1054704,2101212,1.5,102,1,3
2013/05/30 11:05:50,1777648,2101212,2.6,102,1,3
2013/05/30 11:05:52,1441776,2101212,2.1,94.3,1,3
2013/05/30 11:05:53,1107952,2101212,1.6,94.9,1,3
2013/05/30 11:05:54,1751024,2101212,2.6,95.4,1,3
2013/05/30 11:05:55,1288176,2101212,1.9,95.8,1,3
2013/05/30 11:05:56,1884144,2101212,2.8,96.1,1,3
2013/05/30 11:05:57,1423344,2101212,2.1,96.5,1,3
2013/05/30 11:05:58,2097832,2101212,3.1,96.7,1,3
2013/05/30 11:05:59,2097832,2101212,3.1,97.0,1,3
2013/05/30 11:06:00,2097832,2101212,3.1,97.2,1,3
2013/05/30 11:06:01,2097832,2101212,3.1,97.4,1,3
